,Event_ID,Station_ID,Start_Date,Start_Time,End_Time,Entered_Date,Event_Details_ID,Cloud,Rain,Wind,Gust
0,20210521112329-983533978.462219,20210428171318-277168393.135071,2021-04-13,10:27,10:35,2021-05-21,20210521112347-68091154.0985107,100,1,2,3
1,20210521133835-44474422.9316711,20210428171318-803330302.238464,2021-04-13,07:53,08:01,2021-05-21,20210521133859-469948709.011078,100,2,2,3
2,20210602151033-589163005.35202,20210428171318-344180822.372437,2021-04-13,07:45,07:53,2021-06-02,20210602151114-910964310.16922,100,1,2,3
3,20210521111432-314039289.951324,20210428171318-696100771.427155,2021-04-13,09:37,09:45,2021-05-21,20210521111450-291052043.437958,90,0,2,4
4,20210521125624-895535290.241241,20210428171318-332691490.650177,2021-04-13,06:13,06:21,2021-05-21,20210521125646-774027764.797211,100,2,1,1
5,20210520152744-798884391.784668,20210428171318-325205445.289612,2021-04-13,11:42,11:50,2021-05-20,20210520152759-45649170.8755493,100,0,1,1
6,20210521104247-314812541.007996,20210428171318-713027954.101563,2021-04-13,07:08,07:16,2021-05-21,20210521104314-510047435.760498,100,3,2,4
7,20210528094049-678913354.873657,20210428171318-729410886.764526,2021-04-13,09:28,09:36,2021-05-28,20210528094106-357023119.926453,100,1,1,2
8,20210521111805-506093204.021454,20210428171318-734488189.220428,2021-04-13,10:12,10:20,2021-05-21,20210521112204-512945473.194122,90,0,2,4
9,20210521112519-953128993.5112,20210428171318-356586277.484894,2021-04-13,10:45,10:53,2021-05-21,20210521112537-417126953.601837,90,0,1,2
10,20210521092859-589792549.610138,20210428171318-281503438.949585,2021-04-13,09:55,10:03,2021-05-21,20210521093054-927616536.617279,100,0,1,2
11,20210602152632-428456366.062164,20210428171318-364688038.825989,2021-04-13,08:31,08:39,2021-06-02,20210602152649-561040103.435516,100,1,2,4
12,20210507084829-412766814.231873,20210428171318-769506812.095642,2021-04-13,09:13,09:21,2021-05-07,20210507084846-326206207.275391,50,0,0,1
13,20210521105206-452828168.869019,20210428171318-275295495.986938,2021-04-13,08:08,08:16,2021-05-21,20210521105226-30264258.3847046,100,1,2,4
14,20210602161324-149245738.983154,20210428171318-77684700.4890442,2021-04-13,10:13,10:22,2021-06-02,20210602161408-219409108.161926,100,0,1,2
15,20210604092153-919377088.546753,20210428171318-494376718.997955,2021-04-13,11:18,11:26,2021-06-04,20210604092217-627642035.484314,100,2,1,2
16,20210521133552-780381619.930267,20210428171318-783374011.516571,2021-04-13,07:37,07:45,2021-05-21,20210521133626-136326372.623444,100,1,2,3
17,20210521092321-657054960.727692,20210428171318-503371179.103851,2021-04-13,09:30,09:38,2021-05-21,20210521092443-827411830.425262,100,0,1,2
18,20210521133339-974221229.553223,20210428171318-791155457.496643,2021-04-13,07:05,07:13,2021-05-21,20210521133411-805818855.762482,100,2,2,3
19,20210520153424-785212218.761444,20210428171318-800669848.918915,2021-04-13,12:08,12:16,2021-05-20,20210520153446-289665043.354034,90,1,2,3
20,20210521111219-432827174.663544,20210428171318-802587389.945984,2021-04-13,09:22,09:30,2021-05-21,20210521111245-218785583.972931,90,0,2,4
21,20210528093437-919377088.546753,20210428171318-28246939.1822815,2021-04-13,08:27,08:35,2021-05-28,20210528093458-627642035.484314,100,1,1,3
22,20210521111559-133155107.498169,20210428171318-417599201.202393,2021-04-13,09:52,10:00,2021-05-21,20210521111618-177620768.547058,80,0,2,4
23,20210521125814-866232037.54425,20210428171318-450942277.908325,2021-04-13,06:30,06:38,2021-05-21,20210521125920-965498685.836792,100,2,1,1
24,20210507144810-257267653.942108,20210428171318-441216230.392456,2021-04-13,10:29,10:37,2021-05-07,20210507144842-542070209.980011,40,0,2,3
25,20210521112710-957129836.082458,20210428171318-433457136.154175,2021-04-13,10:59,11:07,2021-05-21,20210521112729-346567153.930664,100,1,2,4
26,20210521090304-919377088.546753,20210428171318-517255842.685699,2021-04-13,08:44,08:52,2021-05-21,20210521090323-627642035.484314,100,0,0,1
27,20210602161636-814663946.628571,20210428171318-432759523.391724,2021-04-13,10:30,10:38,2021-06-02,20210602161727-427533328.533173,100,0,1,2
28,20210521104810-355577528.476715,20210428171318-431144356.7276,2021-04-13,07:35,07:43,2021-05-21,20210521104831-578958690.166473,100,1,2,4
29,20210602150359-814490020.275116,20210428171318-528229653.835297,2021-04-13,07:20,07:29,2021-06-02,20210602150424-45352756.9770813,100,2,2,4
