,Observation_ID,Event_ID,Species_ID
0,20210506133334-298165440.559387,20210506132904-814490020.275116,20200813140240-887522280.216217
1,20210506133606-695115506.649017,20210506132904-814490020.275116,20200813140240-941978275.775909
2,20210506133922-979829370.975494,20210506133922-948571085.929871,20200813140240-887522280.216217
3,20210506134142-207561135.292053,20210506133922-948571085.929871,20200813140240-641774833.202362
4,20210506134202-457971453.666687,20210506133922-948571085.929871,20200813140240-34356594.0856934
5,20210506140555-561040103.435516,20210506140555-97973823.5473633,20200813140240-887522280.216217
6,20210506140902-269731581.21109,20210506140902-404834151.268005,20200813140240-941978275.775909
7,20210506141020-489894747.73407,20210506140902-404834151.268005,20200813140240-837038218.975067
8,20210506141043-257267653.942108,20210506140902-404834151.268005,20200813140240-641774833.202362
9,20210506141120-156302213.668823,20210506140902-404834151.268005,20200813140240-887522280.216217
10,20210506141851-128249883.651733,20210506141851-331694424.152374,20200813140240-941978275.775909
11,20210506141954-678913354.873657,20210506141851-331694424.152374,20200813140240-837038218.975067
12,20210506142016-89641392.2309875,20210506141851-331694424.152374,20200813140240-887522280.216217
13,20210506142038-95429062.8433228,20210506141851-331694424.152374,20200813140240-34356594.0856934
14,20210506142103-443862497.806549,20210506141851-331694424.152374,20200813140240-641774833.202362
15,20210506142206-256628930.568695,20210506141851-331694424.152374,20200813140240-941978275.775909
16,20210506142219-790128886.699677,20210506141851-331694424.152374,20200813140240-871533870.697021
17,20210507082809-56236863.1362915,20210507082716-961953163.146973,20200813140240-941978275.775909
18,20210507082848-298165440.559387,20210507082716-961953163.146973,20200813140240-34356594.0856934
19,20210507082911-263792932.033539,20210507082716-961953163.146973,20200813140240-871533870.697021
20,20210507083117-910964310.16922,20210507082716-961953163.146973,20200813140240-887522280.216217
21,20210507083257-676175892.353058,20210507082716-961953163.146973,20200813140240-837038218.975067
22,20210507083323-798884391.784668,20210507082716-961953163.146973,20200813140240-641774833.202362
23,20210507084829-712730467.319489,20210507084829-412766814.231873,20200813140240-941978275.775909
24,20210507085003-631742417.812347,20210507084829-412766814.231873,20200813140240-887522280.216217
25,20210507085240-834817171.096802,20210507084829-412766814.231873,20200813140240-34356594.0856934
26,20210507085302-677947700.023651,20210507084829-412766814.231873,20200813140240-837038218.975067
27,20210507085404-269731581.21109,20210507084829-412766814.231873,20200813140240-871533870.697021
28,20210507090146-156302213.668823,20210507090145-542070209.980011,20200813140240-641774833.202362
29,20210507090703-783995270.729065,20210507090145-542070209.980011,20200813140240-941978275.775909
30,20210507090846-241219.997406006,20210507090145-542070209.980011,20200813140240-34356594.0856934
31,20210507091041-544013977.050781,20210507090145-542070209.980011,20200813140240-887522280.216217
32,20210507091127-149981081.485748,20210507090145-542070209.980011,20200813140240-837038218.975067
33,20210507091202-89641392.2309875,20210507090145-542070209.980011,20200813140240-871533870.697021
34,20210507142320-45352756.9770813,20210507142320-709037899.971008,20200813140240-941978275.775909
35,20210507142526-53504526.6151428,20210507142320-709037899.971008,20200813140240-837038218.975067
36,20210507142550-622696697.711945,20210507142320-709037899.971008,20200813140240-887522280.216217
37,20210507142622-986093163.490295,20210507142320-709037899.971008,20200813140240-641774833.202362
38,20210507142655-243931353.092194,20210507142320-709037899.971008,20200813140240-34356594.0856934
39,20210507143903-798884391.784668,20210507142320-709037899.971008,20200813140240-871533870.697021
40,20210507144228-646587133.407593,20210507144142-160441517.829895,20200813140240-887522280.216217
41,20210507144402-905729830.265045,20210507144142-160441517.829895,20200813140240-837038218.975067
42,20210507144426-289665043.354034,20210507144142-160441517.829895,20200813140240-641774833.202362
43,20210507144506-428456366.062164,20210507144142-160441517.829895,20200813140240-34356594.0856934
44,20210507144527-913717567.920685,20210507144142-160441517.829895,20200813140240-871533870.697021
45,20210507144607-677947700.023651,20210507144142-160441517.829895,20200813140240-941978275.775909
46,20210507144810-628751873.970032,20210507144810-257267653.942108,20200813140240-837038218.975067
47,20210507145034-107375323.77243,20210507144810-257267653.942108,20200813140240-941978275.775909
48,20210507145134-536794066.429138,20210507144810-257267653.942108,20200813140240-34356594.0856934
49,20210507145156-81893563.2705688,20210507144810-257267653.942108,20200813140240-641774833.202362
50,20210507145744-757729291.915894,20210507144810-257267653.942108,20200813140240-749775350.093842
51,20210507145814-207627296.447754,20210507144810-257267653.942108,20200813140240-887522280.216217
52,20210507150027-790128886.699677,20210507150027-322717666.625977,20200813140240-34356594.0856934
53,20210507150146-482428073.883057,20210507150027-322717666.625977,20200813140240-941978275.775909
54,20210507150201-927883088.588715,20210507150027-322717666.625977,20200813140240-887522280.216217
55,20210507150300-149245738.983154,20210507150300-347726404.666901,20200813140240-34356594.0856934
56,20210507151252-345391631.126404,20210507150300-347726404.666901,20200813140240-941978275.775909
57,20210507151309-672427594.661713,20210507150300-347726404.666901,20200813140240-887522280.216217
58,20210507151319-495211303.2341,20210507150300-347726404.666901,20200813140240-837038218.975067
59,20210507151506-489830434.322357,20210507151506-619187593.460083,20200813140240-941978275.775909
60,20210507151851-223261773.586273,20210507151506-619187593.460083,20200813140240-837038218.975067
61,20210507151954-190633416.175842,20210507151506-619187593.460083,20200813140240-34356594.0856934
62,20210507152004-613934934.139252,20210507151506-619187593.460083,20200813140240-887522280.216217
63,20210507152307-561009287.834167,20210507152306-533022344.112396,20200813140240-941978275.775909
64,20210507152441-431144356.7276,20210507152306-533022344.112396,20200813140240-34356594.0856934
65,20210507152511-802587389.945984,20210507152306-533022344.112396,20200813140240-887522280.216217
66,20210507153055-494376718.997955,20210507153054-542029261.58905,20200813140240-941978275.775909
67,20210507153159-965364456.176758,20210507153054-542029261.58905,20200813140240-887522280.216217
68,20210507153242-64491152.7633667,20210507153054-542029261.58905,20200813140240-837038218.975067
69,20210507153429-674826085.567474,20210507153429-804267168.045044,20200813140240-887522280.216217
70,20210507153519-401604592.80014,20210507153429-804267168.045044,20200813140240-941978275.775909
71,20210507153534-406062722.206116,20210507153429-804267168.045044,20200813140240-837038218.975067
72,20210507153553-849099993.70575,20210507153429-804267168.045044,20200813140240-887522280.216217
73,20210507153748-374432206.15387,20210507153748-610432803.630829,20200813140240-34356594.0856934
74,20210507153837-931559443.473816,20210507153748-610432803.630829,20200813140240-887522280.216217
75,20210507153916-178693532.943726,20210507153748-610432803.630829,20200813140240-837038218.975067
76,20210507153930-840887069.702148,20210507153748-610432803.630829,20200813140240-941978275.775909
77,20210507153949-437663912.773132,20210507153748-610432803.630829,20200813140240-871533870.697021
78,20210510074545-14017641.544342,20210510074545-774740099.906921,20200813140240-887522280.216217
79,20210510074711-961953163.146973,20210510074545-774740099.906921,20200813140240-34356594.0856934
80,20210510074807-364018678.665161,20210510074545-774740099.906921,20200813140240-641774833.202362
81,20210510074822-53504526.6151428,20210510074545-774740099.906921,20200813140240-941978275.775909
82,20210510075033-910964310.16922,20210510075031-986093163.490295,20200813140240-887522280.216217
83,20210510075357-979829370.975494,20210510075357-948571085.929871,20200813140240-837038218.975067
84,20210510075502-646587133.407593,20210510075357-948571085.929871,20200813140240-941978275.775909
85,20210510075519-326206207.275391,20210510075357-948571085.929871,20200813140240-887522280.216217
86,20210510081021-502453923.225403,20210510081021-677947700.023651,20200813140240-837038218.975067
87,20210510081125-55593490.6005859,20210510081021-677947700.023651,20200813140240-887522280.216217
88,20210510081145-489894747.73407,20210510081021-677947700.023651,20200813140240-61015367.5079346
89,20210510081156-257267653.942108,20210510081021-677947700.023651,20200813140240-34356594.0856934
