,Species_ID,Family,Scientific_Name,Common_Name,Species_Code,Habitat,TSN,Alternate_Name,Alternate_Type
0,20200813140240-8572578.43017578,Accipritidae,Accipiter soloensis,Chinese Sparrowhawk,CHIS,Forest Bird,175342.0,GRFH,Species Code
1,20200813140240-8572578.43017578,Accipritidae,Accipiter soloensis,Chinese Sparrowhawk,CHIS,Forest Bird,175342.0,Gray Frog-Hawk,Common Name
2,20200813140240-253237068.653107,Accipritidae,Buteo lagopus,Rough-legged Buzzard,RLBU,Open Country Bird,175373.0,Rough-legged Hawk,Common Name
3,20200813140240-253237068.653107,Accipritidae,Buteo lagopus,Rough-legged Buzzard,RLBU,Open Country Bird,175373.0,RLHA,Species Code
4,20200813140240-303595900.535583,Accipritidae,Buteo solitarius,Io,HAWH,Forest Bird,175394.0,Hawaiian Hawk,Common Name
5,20200813140240-303595900.535583,Accipritidae,Buteo solitarius,Io,HAWH,Forest Bird,175394.0,HWAH,Species Code
6,20200813140240-571528732.776642,Accipritidae,Circus hudsonius,Northern Harrier,NOHA,Open Country Bird,175430.0,Circus cyaneus,Scientific Name
7,20200813140240-238475561.141968,Accipritidae,Haliaeetus pelagicus,Steller's Sea-Eagle,STSE,Marine Bird,175423.0,SSEA,Species Code
8,20200813140240-271086990.833282,Accipritidae,Milvus migrans,Black Kite,BLAK,Open Country Bird,175469.0,BKIT,Species Code
9,20200813140240-253927826.881409,Accipritidae,Pandion haliaetus,Western Osprey,OSPR,Open Country Bird,175590.0,Osprey,Common Name
10,20200813140240-340357959.270477,Alaudidae,Alauda arvensis,Eurasian Skylark,EUSK,Open Country Bird,178398.0,Sky Lark,Common Name
11,20200813140240-340357959.270477,Alaudidae,Alauda arvensis,Eurasian Skylark,EUSK,Open Country Bird,178398.0,SKLA,Species Code
12,20200813140240-235228896.141052,Alcedinidae,Megaceryle alcyon,Belted Kingfisher,BEKI,Open Country Bird,178119.0,Ceryle alcyon,Scientific Name
13,20200813140240-629834711.551666,Alcedinidae,Todiramphus sacer,Pacific Kingfisher,PAKI,Forest/ Urban Bird,,Todiramphus chloris,Scientific Name
14,20200813140240-629834711.551666,Alcedinidae,Todiramphus sacer,Pacific Kingfisher,PAKI,Forest/ Urban Bird,,White Collared Kingfisher,Common Name
15,20200813140240-163373708.724976,Anatidae,Anas carolinensis,Green-winged Teal,GWTE,Migratory Waterfowl,175081.0,Anas crecca,Scientific Name
16,20200813140240-144606828.689575,Anatidae,Anas laysanensis,Laysan Duck,LAYD,Wetland Bird,175119.0,LADU,Species Code
17,20200813140240-144606828.689575,Anatidae,Anas laysanensis,Laysan Duck,LAYD,Wetland Bird,175119.0,Laysan Teal,Common Name
18,20200813140240-876381456.851959,Anatidae,Anas wyvilliana,Hawaiian Duck,HAWD,Wetland Bird,175120.0,Kolao,Common Name
19,20200813140240-354580998.420715,Anatidae,Anser albifrons,Greater White-fronted Goose,GWFG,Open Country Bird,175020.0,White-fronted Goose,Common Name
20,20200813140240-279563188.552856,Anatidae,Anser caerulescens,Snow Goose,SNGO,Open Country Bird,175038.0,Chen caerulescens,Scientific Name
21,20200813140240-822227001.190186,Anatidae,Anser canagicus,Emperor Goose,EMGO,Open Country Bird,175042.0,Chen canagica,Scientific Name
22,20200813140240-551584839.820862,Anatidae,Aythya ferina,Common Pochard,COMP,Migratory Waterfowl,175126.0,CPOC,Species Code
23,20200813140240-690717041.492462,Anatidae,Branta canadensis,Canada Goose,CANG,Open Country Bird,174999.0,CAGO,Species Code
24,20200813140240-563806712.627411,Anatidae,Branta sandvicensis,Hawaiian Goose,HAGO,Open Country Bird,175016.0,Nene,Common Name
25,20200813140240-448462545.871735,Anatidae,Clangula hyemalis,Long-tailed Duck,LTDU,Migratory Waterfowl,175147.0,Oldsquaw,Common Name
26,20200813140240-448462545.871735,Anatidae,Clangula hyemalis,Long-tailed Duck,LTDU,Migratory Waterfowl,175147.0,OLDS,Species Code
27,20200813140240-65240740.776062,Anatidae,Cygnus columbianus,Tundra Swan,TUSW,Open Country Bird,174987.0,Bewick's Swan,Common Name
28,20200813140240-65240740.776062,Anatidae,Cygnus columbianus,Tundra Swan,TUSW,Open Country Bird,174987.0,Whistling Swan,Common Name
29,20200813140240-442363619.804382,Anatidae,Histrionicus histrionicus,Harlequin Duck,HADU,Migratory Waterfowl,175149.0,HARD,Species Code
30,20200813140240-481337189.674377,Anatidae,Mareca americana,American Wigeon,AMWI,Migratory Waterfowl,175094.0,Anas americana,Scientific Name
31,20200813140240-284174740.314484,Anatidae,Mareca penelope,Eurasian Wigeon,EUWI,Migratory Waterfowl,175092.0,European Wigeon,Common Name
32,20200813140240-284174740.314484,Anatidae,Mareca penelope,Eurasian Wigeon,EUWI,Migratory Waterfowl,175092.0,Anas penelope,Scientific Name
33,20200813140240-318374812.602997,Anatidae,Mareca strepera,Gadwall,GADW,Migratory Waterfowl,175073.0,Anas strepera,Scientific Name
34,20200813140240-854553878.307343,Anatidae,Melanitta americana,Black Scoter,BLSC,Migratory Waterfowl,175171.0,Melanitta nigra,Scientific Name
35,20200813140240-242420077.323914,Anatidae,Spatula clypeata,Northern Shoveler,NSHO,Migratory Waterfowl,175096.0,Anas clypeata,Scientific Name
36,20200813140240-549597144.126892,Anatidae,Spatula cyanoptera,Cinnamon Teal,CITE,Migratory Waterfowl,175089.0,Anas cyanoptera,Scientific Name
37,20200813140240-43479919.4335938,Anatidae,Spatula discors,Blue-winged Teal,BWTE,Migratory Waterfowl,175086.0,Spatula discors,Scientific Name
38,20200813140240-43479919.4335938,Anatidae,Spatula discors,Blue-winged Teal,BWTE,Migratory Waterfowl,175086.0,Anas discors,Scientific Name
39,20200813140240-9026825.42800903,Anatidae,Spatula querquedula,Garganey,GARG,Migratory Waterfowl,175093.0,Anas querquedula,Scientific Name
40,20200813140240-190780341.625214,Apodidae,Aerodramus bartschi,Mariana Swiftlet,MASW,Widespread/Urban Bird,554964.0,Gray Swiftlet,Common Name
41,20200813140240-190780341.625214,Apodidae,Aerodramus bartschi,Mariana Swiftlet,MASW,Widespread/Urban Bird,554964.0,Uniform Swiftlet,Common Name
42,20200813140240-190780341.625214,Apodidae,Aerodramus bartschi,Mariana Swiftlet,MASW,Widespread/Urban Bird,554964.0,Guam Swiftlet,Common Name
