"Event_ID","Station_ID","Protocol_Name","Start_Date","Start_Time","End_Time","Repeat_Sample","Habitat_Date","Event_Notes","Entered_By","Entered_Date","Updated_By","Updated_Date","Verified","Verified_By","Verified_Date","Certified","Certified_By","Certified_Date","QA_notes"
"20210521112329-983533978.462219","20210428171318-277168393.135071","Landbirds","2021-04-13","10:27","10:35",0,"","Wet","Erin Bell","2021-05-21","Kim Weisenborn","2021-07-13",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210521133835-44474422.9316711","20210428171318-803330302.238464","Landbirds","2021-04-13","07:53","08:01",0,"","Wet. Station ""8/9"".","Erin Bell","2021-05-21","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210602151033-589163005.35202","20210428171318-344180822.372437","Landbirds","2021-04-13","07:45","07:53",0,"","Wet. Mossy floor, moved waypoint","Erin Bell","2021-06-02","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521111432-314039289.951324","20210428171318-696100771.427155","Landbirds","2021-04-13","09:37","09:45",0,"","Wet","Erin Bell","2021-05-21","Kim Weisenborn","2021-07-13",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210521125624-895535290.241241","20210428171318-332691490.650177","Landbirds","2021-04-13","06:13","06:21",0,"","Wet","Erin Bell","2021-05-21","Seth Judge","2021-07-15",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210520152744-798884391.784668","20210428171318-325205445.289612","Landbirds","2021-04-13","11:42","11:50",0,"","Wet","Erin Bell","2021-05-20","Seth Judge","2021-07-15",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521104247-314812541.007996","20210428171318-713027954.101563","Landbirds","2021-04-13","07:08","07:16",0,"","Wet.  Rain drip - loud","Erin Bell","2021-05-21","Kim Weisenborn","2021-07-13",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210528094049-678913354.873657","20210428171318-729410886.764526","Landbirds","2021-04-13","09:28","09:36",0,"","Wet","Erin Bell","2021-05-28","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521111805-506093204.021454","20210428171318-734488189.220428","Landbirds","2021-04-13","10:12","10:20",0,"","Wet","Erin Bell","2021-05-21","Seth Judge","2021-07-15",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210521112519-953128993.5112","20210428171318-356586277.484894","Landbirds","2021-04-13","10:45","10:53",0,"","Wet","Erin Bell","2021-05-21","Kim Weisenborn","2021-07-13",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210521092859-589792549.610138","20210428171318-281503438.949585","Landbirds","2021-04-13","09:55","10:03",0,"","Wet","Erin Bell","2021-05-21","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210602152632-428456366.062164","20210428171318-364688038.825989","Landbirds","2021-04-13","08:31","08:39",0,"","Wet. Mosses. Wind above trees.","Erin Bell","2021-06-02","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210507084829-412766814.231873","20210428171318-769506812.095642","Landbirds","2021-04-13","09:13","09:21",0,"",,"Seth Judge","2021-05-07","Kim Weisenborn","2021-07-12",1,"Kim Weisenborn","2021-07-12",1,"Seth Judge","2021-07-15",
"20210521105206-452828168.869019","20210428171318-275295495.986938","Landbirds","2021-04-13","08:08","08:16",0,"","Wet","Erin Bell","2021-05-21","Kim Weisenborn","2021-07-13",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
