"Habitat_ID","Event_ID","Canopy_Cover","Canopy_Height","Canopy_Comp","Understory_Comp","Noted_Canopy_Spp_Common","Noted_Canopy_Spp_Scientific"
"20210506133644-15703916.5496826","20210506132904-814490020.275116","c","3","Ps-Kukui-XT","XS, BG","NA","NA"
"20210506134306-378902554.512024","20210506133922-948571085.929871","c","3","Ps-Kukui","BG, XS","NA","NA"
"20210506140759-430261135.101318","20210506140555-97973823.5473633","c","3","Ps-Kukui-XT","BG","NA","NA"
"20210506141646-783995270.729065","20210506140902-404834151.268005","c","3","Ps-Kuk-XT","BG","NA","NA"
"20210507083459-401374340.057373","20210506141851-331694424.152374","o","3","IRONWOOD","BG, XS","NA","NA"
"20210507083405-300970494.747162","20210507082716-961953163.146973","c","3","xt","BG, NF, XS","NA","NA"
"20210507085528-390291452.407837","20210507084829-412766814.231873","c","2","xt","xs","NA","NA"
"20210507142247-289562463.760376","20210507090145-542070209.980011","o","2","xt","xs","NA","NA"
"20210507144055-382010698.318481","20210507142320-709037899.971008","c","2","xt","XS, BG","NA","NA"
"20210507144710-979077935.218811","20210507144142-160441517.829895","c","2","xt","xt, bg","NA","NA"
"20210507145932-750687718.391418","20210507144810-257267653.942108","c","2","xt","XS, BG","NA","NA"
"20210507150222-634371936.321259","20210507150027-322717666.625977","c","3","kukui-xt","BG","NA","NA"
"20210507151407-543177008.628845","20210507150300-347726404.666901","c","3","xt","BG","NA","NA"
"20210507152039-61522245.4071045","20210507151506-619187593.460083","c","2","SC, XT","BG, NF","NA","NA"
"20210507152623-645951330.661774","20210507152306-533022344.112396","c","2","XB, Ps","BG, NF","NA","NA"
"20210507153335-784488618.373871","20210507153054-542029261.58905","c","2","xt","BG","NA","NA"
"20210507153629-372814297.676086","20210507153429-804267168.045044","c","3","xt, nt","BG, XS","NA","NA"
"20210507154036-312288105.487823","20210507153748-610432803.630829","c","3","Ps, XT","BG, XS, NF","NA","NA"
"20210510074908-647821187.973022","20210510074545-774740099.906921","c","3","xt","BG, XS","NA","NA"
"20210510075227-100052237.510681","20210510075031-986093163.490295","c","3","xt","BG","NA","NA"
"20210510075557-905729830.265045","20210510075357-948571085.929871","c","3","xt","BG","NA","NA"
"20210510081233-938545167.446136","20210510081021-677947700.023651","c","3","xt","BG","NA","NA"
"20210510081446-783995270.729065","20210510081402-506087362.766266","c","3","kukui-JP-Ps","BG","NA","NA"
"20210510082330-254601895.809174","20210510081913-207627296.447754","c","3","Kukui-Ps, JP","BG","NA","NA"
"20210510082503-864534497.261047","20210510082402-44933855.5335999","c","2","Ps, Kukui, XB","BG","NA","NA"
"20210510083238-875974655.151367","20210510082903-538246333.599091","c","2","Ps, Me","Clidemia, Ginger, Pluchea, Bracken Fern","NA","NA"
"20210510083450-613934934.139252","20210510083407-190633416.175842","o","1","Ps, JP, Me","XS, NF","NA","NA"
"20210510085132-784488618.373871","20210510084558-277168393.135071","c","2","Ps, Me","xs, nf","NA","NA"
"20210510085551-585937917.232513","20210510085229-518015921.115875","c","2","Ps, Me","xs, nf","NA","NA"
"20210510085810-259060978.889465","20210510085732-517192423.343658","c","2","xt","ginger, xs","NA","NA"
"20210510090317-78708887.1002197","20210510090223-270359218.120575","c","3","Mango, Ps","NF, Clidemia, Ginger","NA","NA"
"20210510091235-50045013.4277344","20210510090757-4019677.63900757","c","3","Ps, Kukui","Clidemia, NF","NA","NA"
"20210510093035-375816047.19162","20210510092803-839586138.725281","c","3","Ps, Kuk, Coffee","Clidemia, NF, BG","NA","NA"
"20210707094949-186013519.763947","20210510093251-841427624.225616","c","3","Ps, Kuk","Clidemia, ginger, NF","NA","NA"
"20210513135534-980003237.724304","20210513134425-14017641.544342","c","2","me, nt, xt","xs","NA","NA"
"20210514083642-980003237.724304","20210514082959-760723590.85083","c","3","me, 2nt","xs","NA","NA"
"20210514084027-261368274.688721","20210514083734-575183808.803558","c","3","me","mf, xs","NA","NA"
"20210514085120-263792932.033539","20210514084427-97973823.5473633","c","2","me, 2xt","xs","NA","NA"
"20210514085358-980003237.724304","20210514085329-910964310.16922","c","2","me, 1nt","xs","NA","NA"
"20210514085822-404834151.268005","20210514085602-186013519.763947","c","2","me, 1nt, xt","xs","NA","NA"
"20210514090405-128249883.651733","20210514085957-390291452.407837","c","2","me","xs","NA","NA"
