"Location_ID","Site_ID","Island","Loc_Name"
"20210427115620-14017641.544342","20190226134325-579518616.199493","Molokai","Kamakou Preserve - DOFAW"
"20210427115633-814490020.275116","20190226134325-579518616.199493","Molokai","Molokai FR"
"20210427115652-45352756.9770813","20190226134325-579518616.199493","Molokai","Puu Alii NAR"
"20210427115716-790480017.662048","20210427115337-579518616.199493","Molokai","AUSTIN Private"
"20210427141933-785212218.761444","20210427115609-774740099.906921","Molokai","KS Private"
"20210427142142-543360590.934753","20210427141858-186013519.763947","Molokai","MIALA Private"
"20210427142258-364995419.979095","20210427114333-705547511.577606","Molokai","KALA"
"20210427142621-542070209.980011","20210427142134-22629201.4122009","Molokai","PLCAST Private"
"20210427143500-657054960.727692","20210427142608-628751873.970032","Molokai","Kamakou Preserve - TNC"
"20210427143510-89641392.2309875","20210427142608-628751873.970032","Molokai","Pelekunu Preserve"
