"Transect_ID","Location_ID","Core_Area","Transect_Type","Transect","Updated_Date","Updated_By","Updated_Notes"
"20210428161330-747415781.021118","20210427115620-14017641.544342","Within","Legacy","4","2021-04-28","Kelly Kozar","Added to database for 2021 Molokai surveys."
"20210428161330-613934934.139252","20210427115633-814490020.275116","Within","Legacy","9","2021-04-28","Kelly Kozar","Added to database for 2021 Molokai surveys."
"20210428161330-782138705.253601","20210427115652-45352756.9770813","Within","Legacy","4","2021-04-28","Kelly Kozar","Added to database for 2021 Molokai surveys."
"20210428161330-161743700.504303","20210427115652-45352756.9770813","Within","Legacy","4A","2021-04-28","Kelly Kozar","Added to database for 2021 Molokai surveys."
"20210428161330-807779788.970947","20210427115716-790480017.662048","Within","Legacy","9","2021-04-28","Kelly Kozar","Added to database for 2021 Molokai surveys."
"20210428161330-202618300.914764","20210427141933-785212218.761444","Within","Legacy","8","2021-04-28","Kelly Kozar","Added to database for 2021 Molokai surveys."
"20210428161330-956762433.052063","20210427141933-785212218.761444","Within","Legacy","8A","2021-04-28","Kelly Kozar","Added to database for 2021 Molokai surveys."
"20210428161330-65851032.7339172","20210427142142-543360590.934753","Within","Legacy","110","2021-04-28","Kelly Kozar","Added to database for 2021 Molokai surveys."
"20210428161330-61522245.4071045","20210427142258-364995419.979095","Outside","Legacy","101","2021-04-28","Kelly Kozar","Added to database for 2021 Molokai surveys."
"20210428161330-793197572.231293","20210427142258-364995419.979095","Outside","Legacy","103","2021-04-28","Kelly Kozar","Added to database for 2021 Molokai surveys."
"20210428161330-379604697.227478","20210427142258-364995419.979095","Outside","Legacy","105","2021-04-28","Kelly Kozar","Added to database for 2021 Molokai surveys."
"20210428161330-463584005.832672","20210427142258-364995419.979095","Outside","Legacy","107","2021-04-28","Kelly Kozar","Added to database for 2021 Molokai surveys."
"20210428161330-119544029.23584","20210427142258-364995419.979095","Outside","Legacy","110","2021-04-28","Kelly Kozar","Added to database for 2021 Molokai surveys."
"20210428161330-115470111.370087","20210427142258-364995419.979095","Outside","Legacy","111","2021-04-28","Kelly Kozar","Added to database for 2021 Molokai surveys."
"20210428161330-173773407.936096","20210427142621-542070209.980011","Within","Legacy","11","2021-04-28","Kelly Kozar","Added to database for 2021 Molokai surveys."
"20210428161330-48118889.3318176","20210427143500-657054960.727692","Within","Legacy","3","2021-04-28","Kelly Kozar","Added to database for 2021 Molokai surveys."
"20210428161330-714816331.863403","20210427143500-657054960.727692","Within","Legacy","3A","2021-04-28","Kelly Kozar","Added to database for 2021 Molokai surveys."
"20210428161330-533022344.112396","20210427143500-657054960.727692","Within","Legacy","5","2021-04-28","Kelly Kozar","Added to database for 2021 Molokai surveys."
"20210428161330-561009287.834167","20210427143500-657054960.727692","Within","Legacy","7","2021-04-28","Kelly Kozar","Added to database for 2021 Molokai surveys."
"20210428161330-216733515.262604","20210427143510-89641392.2309875","Within","Legacy","25","2021-04-28","Kelly Kozar","Added to database for 2021 Molokai surveys."
