Detection_ID,Observation_ID,Distance,Detection
20210506133522-647821187.973022,20210506133334-298165440.559387,63,1
20210506133525-263792932.033539,20210506133334-298165440.559387,37,1
20210506133527-279342055.32074,20210506133334-298165440.559387,27,4
20210506133531-829801619.052887,20210506133334-298165440.559387,64,1
20210506133533-824602127.075195,20210506133334-298165440.559387,26,1
20210506133536-589163005.35202,20210506133334-298165440.559387,20,4
20210506133539-986093163.490295,20210506133334-298165440.559387,25,1
20210506133542-910964310.16922,20210506133334-298165440.559387,62,4
20210506133545-226866006.851196,20210506133334-298165440.559387,72,1
20210506133621-243931353.092194,20210506133606-695115506.649017,32,1
20210506133623-533873081.207275,20210506133606-695115506.649017,20,1
20210506133624-106369674.20578,20210506133606-695115506.649017,23,1
20210506133627-999414563.179016,20210506133606-695115506.649017,25,1
20210506134041-160441517.829895,20210506133922-979829370.975494,76,1
20210506134043-162821590.900421,20210506133922-979829370.975494,77,1
20210506134044-646587133.407593,20210506133922-979829370.975494,49,1
20210506134048-410073220.729828,20210506133922-979829370.975494,47,1
20210506134050-412766814.231873,20210506133922-979829370.975494,38,1
20210506134052-712730467.319489,20210506133922-979829370.975494,46,1
20210506134054-326206207.275391,20210506133922-979829370.975494,29,1
20210506134056-633178889.751434,20210506133922-979829370.975494,25,1
20210506134152-583359003.067017,20210506134142-207561135.292053,39,1
20210506134154-80714643.0015564,20210506134142-207561135.292053,42,1
20210506134220-261368274.688721,20210506134202-457971453.666687,42,1
20210506140729-834817171.096802,20210506140555-561040103.435516,47,1
20210506140742-22629201.4122009,20210506140555-561040103.435516,35,1
20210506140744-543360590.934753,20210506140555-561040103.435516,46,1
20210506141007-979077935.218811,20210506140902-269731581.21109,34,1
20210506141008-60916244.9836731,20210506140902-269731581.21109,41,1
20210506141010-390291452.407837,20210506140902-269731581.21109,40,1
20210506141012-364995419.979095,20210506140902-269731581.21109,22,1
20210506141027-474459171.295166,20210506141020-489894747.73407,43,1
20210506141056-542070209.980011,20210506141043-257267653.942108,51,1
20210506141129-654499411.582947,20210506141120-156302213.668823,75,1
20210506141131-506087362.766266,20210506141120-156302213.668823,37,1
20210506141132-390471458.435059,20210506141120-156302213.668823,36,1
20210506141942-657054960.727692,20210506141851-128249883.651733,33,1
20210506141944-544013977.050781,20210506141851-128249883.651733,34,1
20210506141945-827411830.425262,20210506141851-128249883.651733,66,1
20210506141947-81893563.2705688,20210506141851-128249883.651733,37,1
20210506141949-191922485.8284,20210506141851-128249883.651733,25,1
20210506142001-357023119.926453,20210506141954-678913354.873657,36,1
20210506142003-149981081.485748,20210506141954-678913354.873657,22,1
20210506142005-704395771.026611,20210506141954-678913354.873657,20,1
20210506142007-928785979.747772,20210506141954-678913354.873657,72,1
20210506142009-530212521.55304,20210506141954-678913354.873657,17,1
20210506142025-401842057.704926,20210506142016-89641392.2309875,43,1
20210506142028-461874365.80658,20210506142016-89641392.2309875,56,1
20210506142030-492165625.095367,20210506142016-89641392.2309875,57,1
20210506142032-207627296.447754,20210506142016-89641392.2309875,26,1
20210506142034-329735934.734344,20210506142016-89641392.2309875,46,1
20210506142048-169873476.028442,20210506142038-95429062.8433228,52,1
20210506142052-927616536.617279,20210506142038-95429062.8433228,35,1
20210506142054-97929835.319519,20210506142038-95429062.8433228,42,1
