"Event_Details_ID","Event_ID","Cloud","Rain","Wind","Gust","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10"
"20210506133022-45352756.9770813","20210506132904-814490020.275116",100,0,2,3,999,999,999,999,999,999,999,999,999,999
"20210506134025-401374340.057373","20210506133922-948571085.929871",80,0,0,1,999,999,999,999,999,999,999,999,999,999
"20210506140634-694485306.739807","20210506140555-97973823.5473633",90,2,0,1,999,999,999,999,999,999,999,999,999,999
"20210506140950-55593490.6005859","20210506140902-404834151.268005",100,0,1,2,999,999,999,999,999,999,999,999,999,999
"20210506141926-241219.997406006","20210506141851-331694424.152374",90,0,0,1,999,999,999,999,999,999,999,999,999,999
"20210507082811-949556648.731232","20210507082716-961953163.146973",80,0,1,2,999,999,999,999,999,999,999,999,999,999
"20210507084846-326206207.275391","20210507084829-412766814.231873",50,0,0,1,999,999,999,999,999,999,999,999,999,999
"20210507090610-938545167.446136","20210507090145-542070209.980011",30,0,2,3,999,999,999,999,999,999,999,999,999,999
"20210507142352-414032697.677612","20210507142320-709037899.971008",10,0,2,3,999,999,999,999,999,999,999,999,999,999
"20210507144230-410073220.729828","20210507144142-160441517.829895",0,0,1,2,999,999,999,999,999,999,999,999,999,999
"20210507144842-542070209.980011","20210507144810-257267653.942108",40,0,2,3,999,999,999,999,999,999,999,999,999,999
"20210507150106-297258019.447327","20210507150027-322717666.625977",10,0,1,2,999,999,999,999,999,999,999,999,999,999
"20210507150329-479978263.378143","20210507150300-347726404.666901",0,0,1,2,999,999,999,999,999,999,999,999,999,999
"20210507151821-680819392.204285","20210507151506-619187593.460083",0,0,1,2,999,999,999,999,999,999,999,999,999,999
"20210507152324-216733515.262604","20210507152306-533022344.112396",10,0,0,1,999,999,999,999,999,999,999,999,999,999
"20210507153119-972966670.98999","20210507153054-542029261.58905",10,0,3,4,999,999,999,999,999,999,999,999,999,999
"20210507153450-905129313.468933","20210507153429-804267168.045044",20,0,2,4,999,999,999,999,999,999,999,999,999,999
"20210507153808-389501869.678497","20210507153748-610432803.630829",30,0,1,2,999,999,999,999,999,999,999,999,999,999
"20210510074620-760723590.85083","20210510074545-774740099.906921",0,0,0,1,999,999,999,999,999,999,999,999,999,999
"20210510075058-226866006.851196","20210510075031-986093163.490295",0,0,0,1,999,999,999,999,999,999,999,999,999,999
"20210510075427-401374340.057373","20210510075357-948571085.929871",0,0,0,1,999,999,999,999,999,999,999,999,999,999
"20210510081051-513737499.713898","20210510081021-677947700.023651",0,0,0,1,999,999,999,999,999,999,999,999,999,999
"20210510081542-459640800.952911","20210510081402-506087362.766266",0,0,1,2,999,999,999,999,999,999,999,999,999,999
"20210510082013-95429062.8433228","20210510081913-207627296.447754",0,0,1,2,999,999,999,999,999,999,999,999,999,999
"20210510082602-588628590.106964","20210510082402-44933855.5335999",0,0,0,1,999,999,999,999,999,999,999,999,999,999
"20210510082951-847245514.392853","20210510082903-538246333.599091",0,0,0,1,0,0,0,0,0,999,999,999,999,999
"20210510083515-782138705.253601","20210510083407-190633416.175842",0,0,0,1,0,999,999,999,999,999,999,999,999,999
