Species_ID,Alternate_Name,Alternate_Type,Updated_Date,Update_By,Update_Notes
20200813140240-106090843.677521,CRHO,Species Code,2021-12-01,Lauren Smith,Updated species code to match common name
20200813140240-106090843.677521,Crested Honeycreeper,Common Name,,,
20200813140240-116696000.099182,Catoptrophorus semipalmatus,Scientific Name,2021-12-01,Lauren Smith,IOC v11.2: updated scientific name
20200813140240-120618224.143982,PISN,Species Code,2021-12-01,Lauren Smith,IBP 7/22/21: updated species code
20200813140240-121775448.322296,Catharacta maccormicki,Scientific Name,2019-11-20,Kelly Kozar,
20200813140240-143419384.95636,Large Kauai Thrush,Common Name,,,
20200813140240-144606828.689575,LADU,Species Code,2021-12-01,Lauren Smith,Changed species code from LADU to LAYD according to IDP 7/22/21 update
20200813140240-144606828.689575,Laysan Teal,Common Name,,,
20200813140240-149859845.638275,Leach's Storm-Petrel,Common Name,2021-12-01,Lauren Smith,"IOC v11.2: updated scientific name, took hyphen out of common name"
20200813140240-149859845.638275,Oceanodroma leucorhoa,Scientific Name,2021-12-01,Lauren Smith,"IOC v11.2: updated scientific name, took hyphen out of common name"
20200813140240-149983108.043671,Hawaiian Crow,Common Name,,,
20200813140240-163373708.724976,Anas crecca,Scientific Name,2019-11-20,Kelly Kozar,
20200813140240-166377544.403076,Brown Booby,Common Name,,,
20200813140240-168473660.945892,Clytorhynchus vitiensis,Scientific Name,2019-03-21,Kelly Kozar,
20200813140240-168473660.945892,SASH,Species Code,2021-12-01,Lauren Smith,"IOC v11.2: updated scientific name and common name; updated species code to match. Kelly Kozar had previously changed it on 3/21/19 to make it it's own species, according to BNA."
20200813140240-168473660.945892,Samoan Shrikebill,Common Name,2021-12-01,Lauren Smith,"IOC v11.2: updated scientific name and common name; updated species code to match. Kelly Kozar had previously changed it on 3/21/19 to make it it's own species, according to BNA."
20200813140240-168473660.945892,Clytorhynchus powelli,Scientific Name,2021-12-01,Lauren Smith,"IOC v11.2: updated scientific name and common name; updated species code to match. Kelly Kozar had previously changed it on 3/21/19 to make it it's own species, according to BNA."
