Species_ID,Family,Scientific_Name,Common_Name,Species_Code,Source,TE_Status,Habitat,BNA_Account,TSN
20200813140240-664291858.673096,,,Unidentified Bird,UNBI,,,,N/A,
20200813140240-990674972.53418,,,No bird detected at station,NOBI,,,,N/A,
20200813140240-8572578.43017578,Accipritidae,Accipiter soloensis,Chinese Sparrowhawk,CHIS,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Forest Bird,N/A,175342
20200813140240-183178067.207336,Accipritidae,Aquila chrysaetos,Golden Eagle,GOEA,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,684,175407
20200813140240-253237068.653107,Accipritidae,Buteo lagopus,Rough-legged Buzzard,RLBU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,641,175373
20200813140240-303595900.535583,Accipritidae,Buteo solitarius,Io,HAWH,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,523,175394
20200813140240-571528732.776642,Accipritidae,Circus hudsonius,Northern Harrier,NOHA,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,210,175430
20200813140240-238475561.141968,Accipritidae,Haliaeetus pelagicus,Steller's Sea-Eagle,STSE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,175423
20200813140240-271086990.833282,Accipritidae,Milvus migrans,Black Kite,BLAK,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,N/A,175469
20200813140240-253927826.881409,Accipritidae,Pandion haliaetus,Western Osprey,OSPR,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,683,175590
